Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0603,6,0.01uF,
"C10, C12, C13, C14, C9",0603,5,0.1uF,
"C11, C7, C8",0603,3,10uF,
"D1, D3, D7",0603,3,LED_Green,
"D10, D8, D9",D_SOD-323_HandSoldering,3,D_TVS,
"D2, D4",0603,2,LED_Red,
"D5, D6",SOD-123FLv2,2,MBR140SFT3G,
F1,1812,1,1.5A,
"J10, J12","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",2,Screw_Terminal_01x04,
"J11, J13","TerminalBlock_Phoenix_MKDS-1,5-5_1x05_P5.00mm_Horizontal",2,Screw_Terminal_01x05,
J14,PinSocket_1x03_P2.54mm_Vertical,1,GPIO,
J15,PinSocket_1x04_P2.54mm_Vertical,1,SPI,
"J3, J8","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",2,Screw_Terminal_01x02,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J5, J6","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",2,To Motor,
"J7, J9","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",2,From PCB,
"K3, K4",TE_5-1393243-4,2,RT424F12,
"R1, R11, R12, R19, R2",0805,5,470R,
"R10, R14, R16, R20, R4, R6, R8",0805,7,10K,
"R13, R15, R3, R5, R7, R9",0805,6,20K,
"R17, R18",0805,2,5.1K,
SW1,ANT23SECQE DPDT,1,Control 1,
SW2,ANT23SECQE DPDT,1,Open_Close_1,
SW3,ANT23SECQE DPDT,1,Control 2,
SW4,ANT23SECQE DPDT,1,Open_Close_2,
"SW5, SW6",SW PTS636 SP50 SMTR LFS,2,SW_Push,
"U1, U4",SOIC127P600X175-16N,2,ULN2003ADR,
U2,Converter_DCDC_RECOM_R-78E-0.5_THT,1,R-783.3-1.0,
U3,Converter_DCDC_RECOM_R-78E-0.5_THT,1,R-78E5.0-1.0,
U6,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
