Designator,Mid X,Mid Y,Rotation,Layer
C1,96.275,-74.0,180.0,top
C10,83.725,-72.5,180.0,top
C11,62.0,-72.725,90.0,top
C12,118.0,-66.525,270.0,top
C13,90.525,-53.75,180.0,top
C14,88.475,-55.5,180.0,top
C2,96.2875,-77.0,180.0,top
C3,122.0,-51.725,270.0,top
C4,122.0,-48.275,270.0,top
C5,96.275,-71.0,180.0,top
C6,96.275,-68.0,0.0,top
C7,75.5,-64.775,90.0,top
C8,83.775,-70.5,180.0,top
C9,73.5,-64.775,90.0,top
D1,106.5,-99.2875,270.0,top
D10,74.75,-49.75,270.0,top
D2,103.0,-99.2875,270.0,top
D3,113.5,-99.2875,270.0,top
D4,110.0,-99.2875,270.0,top
D5,57.0,-73.5,180.0,top
D6,61.475,-57.0,180.0,top
D7,71.2125,-71.5,0.0,top
D8,69.75,-49.75,270.0,top
D9,72.25,-49.75,270.0,top
F1,68.135,-57.0,0.0,top
J10,106.0,-110.195,0.0,top
J11,128.5,-110.195,0.0,top
J12,151.0,-110.195,0.0,top
J13,173.5,-110.195,0.0,top
J14,140.75,-49.0,270.0,top
J15,104.55,-68.695,90.0,top
J3,52.805,-65.5,270.0,top
J4,53.5,-52.32,270.0,top
J5,65.5,-119.305,180.0,bottom
J6,139.5,-119.305,180.0,bottom
J7,92.0,-119.305,180.0,bottom
J8,53.305,-124.5,90.0,bottom
J9,167.0,-119.305,180.0,bottom
K3,172.75,-75.005,270.0,top
K4,143.75,-75.005,270.0,top
R1,106.5,-95.9125,270.0,top
R10,56.0875,-92.5,0.0,top
R11,113.5,-95.9125,270.0,top
R12,110.0,-95.9125,270.0,top
R13,115.0,-87.4125,270.0,top
R14,115.0,-91.9125,270.0,top
R15,111.5,-87.4125,270.0,top
R16,111.5,-91.9125,270.0,top
R17,63.5,-49.5,90.0,top
R18,67.0,-49.5875,90.0,top
R19,67.5875,-71.5,0.0,top
R2,103.0,-95.9125,270.0,top
R20,91.25,-56.4125,270.0,top
R3,108.0,-87.4125,270.0,top
R4,108.0,-91.9125,270.0,top
R5,104.5,-87.4125,270.0,top
R6,104.5,-91.9125,270.0,top
R7,69.9125,-98.75,0.0,top
R8,69.9125,-96.0,180.0,top
R9,56.0875,-89.5,180.0,top
SW1,78.385,-123.1,270.0,top
SW2,104.385,-123.1,270.0,top
SW3,153.385,-123.1,270.0,top
SW4,179.385,-123.2,270.0,top
SW5,122.25,-63.5,180.0,top
SW6,89.5,-50.75,0.0,top
U1,157.405,-77.5,270.0,top
U2,83.0,-65.0,0.0,top
U3,66.314,-65.0,0.0,top
U4,129.0,-77.0,270.0,top
U6,105.5,-52.15,0.0,top
